id,risk,center_x,center_y,lon,lat,fid,real_id,covered
555,5.0,11000.0,10000.0,-7.885,41.224,555,555,1
556,5.0,11000.0,9500.0,-7.885,41.219,556,556,1
557,5.0,11000.0,9000.0,-7.885,41.215,557,557,1
558,5.0,11000.0,8500.0,-7.885,41.21,558,558,1
559,5.0,11000.0,8000.0,-7.885,41.206,559,559,1
560,5.0,11000.0,7500.0,-7.885,41.201,560,560,1
576,5.0,11500.0,12000.0,-7.879,41.242,576,576,1
577,5.0,11500.0,11500.0,-7.879,41.237,577,577,1
578,5.0,11500.0,11000.0,-7.879,41.233,578,578,1
579,5.0,11500.0,10500.0,-7.879,41.228,579,579,1
580,5.0,11500.0,10000.0,-7.879,41.224,580,580,1
581,5.0,11500.0,9500.0,-7.879,41.219,581,581,1
582,5.0,11500.0,9000.0,-7.879,41.215,582,582,1
583,5.0,11500.0,8500.0,-7.879,41.21,583,583,1
584,5.0,11500.0,8000.0,-7.879,41.206,584,584,1
585,5.0,11500.0,7500.0,-7.879,41.201,585,585,1
601,5.0,12000.0,12000.0,-7.873,41.242,601,601,1
602,5.0,12000.0,11500.0,-7.873,41.237,602,602,1
603,5.0,12000.0,11000.0,-7.873,41.233,603,603,1
604,5.0,12000.0,10500.0,-7.873,41.228,604,604,1
605,5.0,12000.0,10000.0,-7.873,41.224,605,605,1
606,5.0,12000.0,9500.0,-7.873,41.219,606,606,1
607,5.0,12000.0,9000.0,-7.873,41.215,607,607,1
608,5.0,12000.0,8500.0,-7.873,41.21,608,608,1
609,5.0,12000.0,8000.0,-7.873,41.206,609,609,1
610,5.0,12000.0,7500.0,-7.873,41.201,610,610,1
626,5.0,12500.0,12000.0,-7.867,41.242,626,626,1
627,5.0,12500.0,11500.0,-7.867,41.237,627,627,1
628,5.0,12500.0,11000.0,-7.867,41.233,628,628,1
629,5.0,12500.0,10500.0,-7.867,41.228,629,629,1
630,5.0,12500.0,10000.0,-7.867,41.224,630,630,1
631,5.0,12500.0,9500.0,-7.867,41.219,631,631,1
632,5.0,12500.0,9000.0,-7.867,41.215,632,632,1
633,5.0,12500.0,8500.0,-7.867,41.21,633,633,1
634,5.0,12500.0,8000.0,-7.867,41.206,634,634,1
635,5.0,12500.0,7500.0,-7.867,41.201,635,635,1
651,5.0,13000.0,12000.0,-7.861,41.242,651,651,1
652,4.0,13000.0,11500.0,-7.861,41.237,652,652,1
653,5.0,13000.0,11000.0,-7.861,41.233,653,653,1
654,5.0,13000.0,10500.0,-7.861,41.228,654,654,1
655,5.0,13000.0,10000.0,-7.861,41.224,655,655,1
